iter	Passed	Remaining
1456	35507	86343
1457	35526	86306
1458	35547	86274
1459	35567	86238
1460	35586	86202
1461	35607	86170
1462	35630	86142
1463	35652	86110
1464	35673	86077
1465	35691	86039
1466	35709	86000
1467	35729	85964
1468	35748	85927
1469	35782	85927
1470	35929	86196
1471	35963	86194
1472	35997	86194
1473	36031	86191
1474	36064	86189
1475	36087	86159
1476	36108	86126
1477	36126	86087
1478	36147	86054
1479	36173	86035
1480	36202	86019
1481	36222	85986
1482	36253	85977
1483	36281	85961
1484	36303	85929
1485	36336	85925
1486	36361	85904
1487	36385	85877
1488	36404	85841
1489	36424	85806
1490	36444	85769
1491	36464	85736
1492	36485	85703
1493	36506	85669
1494	36533	85651
1495	36578	85676
1496	36622	85698
1497	36644	85667
1498	36665	85634
1499	36691	85612
1500	36711	85579
1501	36735	85552
1502	36754	85516
1503	36774	85481
1504	36797	85454
1505	36818	85421
1506	36911	85554
1507	36949	85561
1508	36994	85586
1509	37014	85551
1510	37033	85513
1511	37051	85472
1512	37068	85430
1513	37086	85391
1514	37123	85396
1515	37157	85392
1516	37179	85362
1517	37198	85325
1518	37218	85291
1519	37237	85254
1520	37256	85216
1521	37276	85181
1522	37295	85144
1523	37315	85110
1524	37337	85080
1525	37358	85047
1526	37388	85037
1527	37424	85038
1528	37457	85031
1529	37484	85012
1530	37506	84984
1531	37528	84952
1532	37557	84939
1533	37580	84911
1534	37602	84880
1535	37625	84853
1536	37662	84856
1537	37700	84863
1538	37721	84829
1539	37749	84813
1540	37771	84783
1541	37795	84757
1542	37820	84735
1543	37853	84728
1544	37881	84713
1545	37997	84892
1546	38028	84881
1547	38047	84844
1548	38067	84809
1549	38085	84771
1550	38105	84736
1551	38126	84703
1552	38145	84667
1553	38179	84662
1554	38223	84681
1555	38249	84660
1556	38271	84629
1557	38293	84600
1558	38314	84566
1559	38334	84533
1560	38354	84497
1561	38373	84461
1562	38393	84426
1563	38415	84395
1564	38435	84361
1565	38455	84327
1566	38476	84295
1567	38498	84263
1568	38522	84238
1569	38547	84215
1570	38567	84181
1571	38587	84145
1572	38608	84113
1573	38629	84080
1574	38655	84061
1575	38677	84029
1576	38697	83996
1577	38718	83962
1578	38742	83938
1579	38764	83907
1580	38793	83893
1581	38824	83882
1582	38852	83866
1583	38880	83848
1584	38928	83874
1585	38953	83850
1586	38999	83872
1587	39061	83929
1588	39083	83898
1589	39102	83860
1590	39121	83824
1591	39140	83787
1592	39159	83751
1593	39178	83715
1594	39196	83676
1595	39215	83640
1596	39234	83603
1597	39253	83567
1598	39273	83533
1599	39294	83500
1600	39314	83466
1601	39332	83429
1602	39351	83392
1603	39370	83354
1604	39390	83321
1605	39413	83294
1606	39431	83255
1607	39450	83218
1608	39468	83181
1609	39490	83151
1610	39510	83116
1611	39529	83081
1612	39548	83044
1613	39567	83007
1614	39584	82968
1615	39604	82933
1616	39621	82893
1617	39641	82859
1618	39660	82823
1619	39680	82789
1620	39699	82754
1621	39718	82717
1622	39736	82680
1623	39754	82642
1624	39771	82602
1625	39790	82565
1626	39809	82530
1627	39827	82493
1628	39846	82457
1629	39864	82419
1630	39886	82388
1631	39922	82388
1632	39943	82358
1633	39963	82322
1634	39983	82290
1635	40001	82253
1636	40107	82395
1637	40129	82366
1638	40150	82334
1639	40169	82299
1640	40189	82264
1641	40207	82228
1642	40226	82190
1643	40244	82153
1644	40263	82117
1645	40287	82092
1646	40306	82057
1647	40324	82019
1648	40344	81985
1649	40363	81950
1650	40382	81915
1651	40401	81879
1652	40420	81843
1653	40439	81809
1654	40458	81773
1655	40478	81739
1656	40496	81701
1657	40515	81665
1658	40534	81629
1659	40555	81599
1660	40577	81569
1661	40595	81532
1662	40613	81496
1663	40633	81462
1664	40652	81426
